userId,itemId,rating,group
1,61,4,1
1,189,3,1
1,33,4,1
1,160,4,1
1,20,4,1
1,202,5,1
1,171,5,1
1,265,4,1
1,117,3,1
1,47,4,1
1,222,4,1
1,253,5,1
1,113,5,1
1,227,4,1
1,17,3,1
1,90,4,1
1,64,5,1
1,92,3,1
1,228,5,1
1,121,4,1
1,114,5,1
1,132,4,1
1,134,4,1
1,98,4,1
1,186,4,1
1,221,5,1
1,84,4,1
1,31,3,1
1,70,3,1
1,60,5,1
1,177,5,1
1,174,5,1
1,159,3,1
1,82,5,1
1,56,4,1
1,272,3,1
1,80,4,1
1,229,4,1
1,235,5,1
1,125,3,1
1,215,3,1
1,6,5,1
1,49,3,1
1,206,4,1
1,76,4,1
1,72,4,1
1,185,4,1
1,96,5,1
1,258,5,1
1,81,5,1
1,212,4,1
1,151,4,1
1,51,4,1
1,175,5,1
1,107,4,1
1,218,3,1
1,209,4,1
1,108,5,1
1,262,3,1
1,12,5,1
1,14,5,1
1,97,3,1
1,44,5,1
1,53,3,1
1,163,4,1
1,210,4,1
1,184,4,1
1,157,4,1
1,201,3,1
1,150,5,1
1,183,5,1
1,248,4,1
1,208,5,1
1,128,4,1
1,242,5,1
1,193,4,1
1,232,3,1
1,236,4,1
1,200,3,1
1,180,3,1
1,250,4,1
1,85,3,1
1,91,5,1
1,10,3,1
1,129,5,1
1,241,4,1
1,130,3,1
1,118,3,1
1,54,3,1
1,267,4,1
1,24,3,1
1,86,5,1
1,196,5,1
1,39,4,1
1,164,3,1
1,230,4,1
1,23,4,1
1,224,5,1
1,73,3,1
1,67,3,1
1,65,4,1
1,190,5,1
1,100,5,1
1,226,3,1
1,154,5,1
1,214,4,1
1,161,4,1
1,62,3,1
1,188,3,1
1,69,3,1
1,170,5,1
1,38,3,1
1,9,5,1
1,246,5,1
1,22,4,1
1,179,3,1
1,187,4,1
1,135,4,1
1,68,4,1
1,146,4,1
1,176,5,1
1,166,5,1
1,89,5,1
1,2,3,1
1,30,3,1
1,249,4,1
1,269,5,1
1,32,5,1
1,141,3,1
1,211,3,1
1,40,3,1
1,270,5,1
1,133,4,1
1,239,4,1
1,194,4,1
1,256,4,1
1,220,3,1
1,93,5,1
1,205,3,1
1,234,4,1
1,147,3,1
1,99,3,1
1,1,5,1
1,197,5,1
1,173,5,1
1,75,4,1
1,268,5,1
1,144,4,1
1,119,5,1
1,26,3,1
1,158,3,1
1,181,5,1
1,136,3,1
1,257,4,1
1,109,5,1
1,182,4,1
1,71,3,1
1,223,5,1
1,46,4,1
1,169,5,1
1,162,4,1
1,66,4,1
1,77,4,1
1,199,4,1
1,57,5,1
1,50,5,1
1,192,4,1
1,178,5,1
1,5,3,1
1,87,5,1
1,238,4,1
1,156,4,1
1,106,4,1
1,115,5,1
1,137,5,1
1,127,5,1
1,16,5,1
1,79,4,1
1,45,5,1
1,48,5,1
1,25,4,1
1,251,4,1
1,195,5,1
1,153,3,1
1,168,5,1
1,123,4,1
1,191,5,1
1,4,3,1
1,203,4,1
1,55,5,1
1,42,5,1
1,139,3,1
1,240,3,1
1,7,4,1
1,43,4,1
1,165,5,1
1,116,3,1
1,198,5,1
1,124,5,1
1,95,4,1
1,217,3,1
1,58,4,1
1,216,5,1
1,83,3,1
1,204,5,1
1,3,4,1
1,207,5,1
1,19,5,1
1,18,4,1
1,59,5,1
1,15,5,1
1,111,5,1
1,52,4,1
1,88,4,1
1,13,5,1
1,28,4,1
1,172,5,1
1,122,3,1
1,152,5,1
2,292,4,2
2,251,5,2
2,50,5,2
2,297,4,2
2,290,3,2
2,312,3,2
2,281,3,2
2,13,4,2
2,280,3,2
2,303,4,2
2,308,3,2
2,307,3,2
2,257,4,2
2,316,5,2
2,301,4,2
2,313,5,2
2,279,4,2
2,299,4,2
2,298,3,2
2,19,3,2
2,277,4,2
2,282,4,2
2,111,4,2
2,258,3,2
2,295,4,2
2,242,5,2
