userId,itemId,rating,item_type,group
2,51,13883,1,1
2,52,11690,1,1
2,53,11351,1,1
2,54,10300,1,1
2,55,8983,1,1
2,56,6152,1,1
2,57,5955,1,1
2,58,4616,1,1
2,59,4337,1,1
2,60,4147,1,1
2,61,3923,1,1
2,62,3782,1,1
2,63,3735,1,1
2,64,3644,1,1
2,65,3579,1,1
2,66,3312,1,1
2,67,3301,1,1
2,68,2927,1,1
2,69,2720,1,1
2,70,2686,1,1
2,71,2654,1,1
2,72,2619,1,1
2,73,2584,1,1
2,74,2547,1,1
2,75,2397,1,1
2,76,2382,1,1
2,77,2120,1,1
2,78,2119,1,1
2,79,1990,1,1
2,80,1972,1,1
2,81,1948,1,1
2,82,1868,1,1
2,83,1792,1,1
2,84,1740,1,1
2,85,1638,1,1
2,86,1594,1,1
2,87,1559,2,1
2,88,1553,1,1
2,89,1519,1,1
2,90,1471,1,1
2,91,1438,1,1
2,92,1411,2,1
2,93,1407,1,1
2,94,1373,2,1
2,95,1363,1,1
2,96,1342,1,1
2,97,1337,1,1
2,98,1332,1,1
2,99,1330,1,1
2,100,1315,1,1
3,101,13176,1,2
3,102,662,2,2
3,103,493,1,2
3,104,431,2,2
3,105,403,2,2
3,106,354,2,2
3,107,269,1,2
3,108,236,2,2
3,109,215,2,2
3,110,215,2,2
3,111,212,2,2
3,112,193,2,2
3,113,187,2,2
3,114,167,2,2
3,115,163,2,2
3,116,154,2,2
3,117,151,2,2
3,118,142,2,2
3,119,142,2,2
3,120,125,2,2
3,121,111,2,2
3,122,108,2,2
3,123,104,2,2
3,124,99,2,2
3,125,98,2,2
3,126,94,1,2
3,127,89,2,2
3,128,89,2,2
3,129,86,2,2
3,130,85,2,2
3,131,84,2,2
3,132,83,2,2
3,133,83,2,2
3,134,77,2,2
3,135,77,2,2
3,136,76,2,2
3,137,75,2,2
3,138,72,2,2
3,139,72,2,2
3,140,71,2,2
3,141,70,2,2
3,142,70,2,2
3,143,70,2,2
3,144,69,2,2
3,145,68,2,2
3,146,67,2,2
3,147,67,2,2
3,148,66,2,2
3,149,66,2,2
3,150,65,2,2
4,51,228,1,2
4,53,686,1,2
4,64,420,1,2
4,65,301,1,2
4,70,389,1,2
4,72,4983,1,2
4,77,396,1,2
4,151,1807,1,2
4,152,1208,1,2
4,153,903,1,2
4,154,826,1,2
4,155,777,1,2
4,156,743,1,2
4,157,732,1,2
4,158,729,2,2
4,159,724,1,2
4,160,712,2,2
4,161,632,1,2
4,162,524,1,2
4,163,465,1,2
4,164,455,2,2
4,165,446,2,2
4,166,445,1,2
4,167,407,1,2
4,168,404,2,2
4,169,384,2,2
4,170,366,1,2
4,171,359,1,2
4,172,309,1,2
4,173,292,1,2
4,174,287,1,2
4,175,285,1,2
4,176,284,1,2
4,177,284,2,2
4,178,279,1,2
4,179,264,2,2
4,180,256,1,2
4,181,255,1,2
4,182,254,1,2
4,183,253,1,2
4,184,247,1,2
4,185,240,1,2
4,186,236,1,2
4,187,223,1,2
4,188,221,1,2
4,189,210,1,2
4,190,208,1,2
4,191,202,1,2
4,192,197,1,2
4,193,193,1,2
5,53,181,1,2
5,154,884,1,2
5,173,241,1,2
5,182,222,1,2
5,190,826,1,2
5,194,777,1,2
5,195,673,1,2
5,196,620,1,2
5,197,452,1,2
5,198,451,1,2
5,199,374,1,2
5,200,337,1,2
5,201,304,1,2
5,202,298,1,2
5,203,287,1,2
5,204,283,1,2
5,205,275,1,2
5,206,265,1,2
5,207,259,1,2
5,208,255,1,2
5,209,252,1,2
5,210,229,1,2
5,211,222,1,2
5,212,210,1,2
5,213,209,2,2
5,214,207,1,2
5,215,196,1,2
5,216,192,1,2
5,217,185,1,2
5,218,184,2,2
5,219,178,1,2
5,220,170,1,2
5,221,161,1,2
5,222,161,1,2
5,223,149,1,2
5,224,143,2,2
5,225,142,1,2
5,226,139,1,2
5,227,138,1,2
5,228,138,1,2
5,229,138,1,2
5,230,137,1,2
5,231,134,1,2
5,232,133,1,2
5,233,130,1,2
5,234,129,1,2
5,235,129,1,2
5,236,127,1,2
5,237,118,1,2
5,238,115,1,2
6,77,16,1,2
6,239,41,1,2
6,240,41,2,2
6,241,40,1,2
6,242,37,2,2
6,243,34,2,2
6,244,33,2,2
6,245,31,1,2
6,246,31,1,2
6,247,27,2,2
6,248,26,1,2
6,249,24,1,2
6,250,24,1,2
6,251,24,1,2
6,252,24,2,2
6,253,23,1,2
6,254,20,2,2
6,255,20,2,2
6,256,19,1,2
6,257,18,1,2
6,258,18,1,2
6,259,18,2,2
6,260,18,2,2
6,261,18,1,2
6,262,17,1,2
6,263,17,2,2
6,264,17,2,2
6,265,17,1,2
6,266,16,1,2
6,267,16,1,2
6,268,16,2,2
