userId,itemId,rating,group
16795,54393,7,1
98230,20806,8,1
98391,173320,10,1
60244,129259,7,1
221510,298654,8,1
46443,2766,9,1
68457,137963,5,1
103907,185872,8,1
156150,237517,7,1
26535,54187,9,1
241432,315076,8,1
254899,69316,8,1
96430,4011,7,1
194191,81256,7,1
149907,231042,10,1
239369,179372,8,1
2337,13708,9,1
218848,5600,9,1
261998,176674,8,1
128085,16544,5,1
28634,9963,8,1
45507,65212,5,1
131894,23739,7,1
136291,59901,10,1
25799,69790,7,1
230335,305270,7,1
160681,85119,6,1
61049,130684,10,1
183532,264204,9,1
120565,123388,7,1
218552,10943,8,1
8890,28356,6,1
20180,1365,10,1
136313,1070,10,1
114075,197728,7,1
257700,328499,10,1
30276,1444,7,1
238613,20191,8,1
62542,982,8,1
277639,2404,6,1
37437,59868,8,1
42805,29870,8,1
68249,30618,8,1
136561,100879,10,1
195714,214211,9,1
30072,65064,10,1
86033,781,6,1
108849,191299,9,1
163307,119621,5,1
98391,176959,8,1
43246,1262,9,1
3719,11656,7,1
109721,38257,10,1
137190,149746,8,1
221946,77428,9,1
99630,181103,5,1
216579,50794,8,1
114076,12188,6,1
171602,251592,5,1
34801,38377,6,1
27383,15156,7,1
268949,727,9,1
272482,22835,7,1
268704,4686,10,1
36299,71489,7,1
151122,1084,6,1
174151,14197,9,1
253895,115959,8,1
96019,174024,6,1
76626,149812,8,1
224349,300566,6,1
128085,61732,8,1
48025,27539,8,1
55493,7077,9,1
106248,81910,8,1
224985,19420,7,1
56663,125065,5,1
25695,69734,6,1
244070,23384,8,1
153662,234426,9,1
26914,73374,10,1
16795,21394,5,1
115098,199411,9,1
162311,242504,7,1
239569,1916,8,1
240677,15689,6,1
14683,48933,7,1
232945,8706,9,1
110227,14298,9,1
156150,22916,7,1
37644,7214,10,1
189334,269630,9,1
195342,159068,7,1
272225,308795,9,1
102032,183978,9,1
65792,135751,8,1
173840,15196,9,1
208600,62381,10,1
42597,1104,9,1
151459,2447,8,1
137746,220713,8,1
98391,84726,8,1
26196,7835,6,1
182993,21500,9,1
66850,12770,7,1
94624,71223,7,1
75335,134970,9,1
202654,10241,7,1
40136,39326,7,1
54731,76086,6,1
90198,1628,7,1
231827,15285,10,1
95932,27951,8,1
171204,251355,5,1
190925,272289,7,1
60707,2988,6,1
126296,98758,7,1
232320,1485,10,1
83096,157430,9,1
47971,81852,9,1
93147,33941,8,1
130157,163,5,1
204359,85617,10,1
227520,1897,8,1
168129,108634,10,1
165319,16620,6,1
129465,52160,8,1
95359,128290,10,1
88122,1578,10,1
54840,120208,5,1
173131,15587,10,1
198191,20612,10,1
107342,105898,7,1
164418,53417,9,1
139221,30708,8,1
15161,2223,6,1
129074,641,10,1
164675,51434,8,1
30261,14885,8,1
16795,1561,7,1
264121,60998,8,1
218005,297024,9,1
95991,10370,10,1
276822,133,9,1
256167,32147,9,1
277087,848,5,1
51643,114468,6,1
60337,106208,9,1
99955,14481,7,1
134222,2324,7,1
21659,960,10,1
98391,117602,9,1
69156,132720,7,1
45416,107595,5,1
138425,22061,7,1
49639,111945,8,1
246668,320094,6,1
80067,22625,8,1
269781,78493,8,1
133571,23228,6,1
167478,14626,9,1
169779,248653,8,1
166828,25116,8,1
216149,29681,8,1
28938,10410,10,1
224525,19202,10,1
159033,15738,9,1
216012,46404,7,1
16634,15582,10,1
43246,1372,9,1
39664,2844,7,1
76626,16802,9,1
265889,15155,8,1
205404,43772,7,1
226965,61773,5,1
196210,5831,7,1
79841,8993,9,1
225087,258312,10,1
104916,186730,6,1
256217,327599,7,1
271705,43768,8,1
123981,4714,7,1
2766,2697,9,1
90984,49771,5,1
135830,2101,10,1
183776,147014,5,1
231210,306461,7,1
18412,746,9,1
80861,78374,5,1
140675,40509,7,1
11201,31947,6,1
179216,243818,7,1
177072,43759,8,1
82497,36675,7,1
66387,1534,6,1
2437,13005,9,1
20172,59659,9,1
124175,1030,8,1
235105,164128,7,1
96357,174227,10,1
52159,2253,8,1
268262,275105,7,1
173557,253809,10,1
26939,73398,10,1
201697,106109,7,1
164533,244322,7,1
169223,67775,7,1
206016,285999,7,1
139439,11526,9,1
73554,3895,10,1
114893,199112,10,1
272573,102386,8,1
196621,276189,6,1
65038,67233,9,1
125519,107161,10,1
81492,48291,8,1
99337,33915,6,1
26544,72054,8,1
121170,35618,7,1
40029,28468,7,1
229064,1376,10,1
28222,75492,6,1
158998,40588,9,1
242781,35986,9,1
98391,176181,9,1
187517,267764,8,1
148199,229772,5,1
76626,124245,10,1
122429,136,8,1
82497,76939,7,1
31826,83508,10,1
177673,17861,8,1
231857,84219,5,1
140879,8771,7,1
106007,188072,10,1
126196,3243,8,1
123947,205983,10,1
239630,102454,10,1
153662,234497,9,1
217566,55226,8,1
160735,28721,6,1
685,10389,7,1
74056,8625,8,1
243895,317041,8,1
114544,8712,8,1
142974,225430,8,1
30779,80769,8,1
100906,53426,9,1
228064,781,10,1
249825,1285,8,1
55490,47034,10,1
143908,59385,10,1
142973,92576,5,1
83637,48437,10,1
59820,15645,10,1
125203,207514,8,1
34502,22026,8,1
98391,155408,8,1
13256,28685,7,1
35713,89452,5,1
161467,8461,9,1
